Time,Sex,Species,Animal,Replicate,Flour_reading,Plate,Measure_3.2,Size_mm,Control,Control_rep,Control_fluor,Plate_control
Day,F,dentifera,1,1,33294,Day,49,1.40,1,1,53695,Day
Day,F,dentifera,1,2,23462,Day,49,1.40,1,2,42568,Day
Day,F,dentifera,2,1,28444,Day,49,1.40,2,1,41976,Day
Day,F,dentifera,2,2,24395,Day,49,1.40,2,2,39979,Day
Day,F,dentifera,3,1,26116,Day,51,1.46,3,1,39432,Day
Day,F,dentifera,3,2,29526,Day,51,1.46,3,2,43056,Day
Day,F,dentifera,4,1,29035,Day,48,1.37,4,1,29912,Day
Day,F,dentifera,4,2,24848,Day,48,1.37,4,2,23598,Day
Day,F,dentifera,5,1,25219,Day,54,1.54,5,1,40686,Day
Day,F,dentifera,5,2,26442,Day,54,1.54,5,2,42227,Day
Day,F,dentifera,6,1,28539,Day,44,1.26,6,1,46363,Night
Day,F,dentifera,6,2,29886,Day,44,1.26,6,2,48333,Night
Day,F,dentifera,7,1,22830,Day,46,1.31,7,1,46447,Night
Day,F,dentifera,7,2,21880,Day,46,1.31,7,2,35235,Night
Day,F,dentifera,8,1,22573,Day,48,1.37,8,1,28199,Night
Day,F,dentifera,8,2,26824,Day,48,1.37,8,2,43671,Night
Day,F,dentifera,9,1,26957,Day,48,1.37,9,3,38781,Night
Day,F,dentifera,9,2,27565,Day,48,1.37,9,4,43663,Night
Day,F,dentifera,10,1,33045,Day,48,1.37,10,5,51604,Night
Day,F,dentifera,10,2,27930,Day,48,1.37,10,6,36602,Night
Day,F,dentifera,11,1,28918,Day,49,1.40,,,,
Day,F,dentifera,11,2,35597,Day,49,1.40,,,,
Day,F,dentifera,12,1,22848,Day,48,1.37,,,,
Day,F,dentifera,12,2,29314,Day,48,1.37,,,,
Day,F,dentifera,13,1,32131,Day,48,1.37,,,,
Day,F,dentifera,13,2,25080,Day,48,1.37,,,,
Day,F,dentifera,14,1,21992,Day,48,1.37,,,,
Day,F,dentifera,14,2,26303,Day,48,1.37,,,,
Day,F,magna,1,1,20884,Day,90,2.57,,,,
Day,F,magna,1,2,15275,Day,90,2.57,,,,
Day,F,magna,2,1,15400,Day,91,2.60,,,,
