Sample,time,species,replicate,
Plate13A01,day,magna,1,D1
Plate13A02,day,magna,2,D2
Plate13A03,day,magna,3,D3
Plate13A04,day,magna,4,D4
Plate13A05,day,magna,5,D5
Plate13A06,day,magna,6,D6
Plate13A07,day,magna,7,D7
Plate13A08,day,magna,8,D8
Plate13A09,day,magna,9,D9
Plate13A10,day,magna,10,D10
Plate13B01,night,magna,1,N1
Plate13B02,night,magna,2,N2
Plate13B03,night,magna,3,N3
Plate13B04,night,magna,4,N4
Plate13B05,night,magna,5,N5
Plate13B06,night,magna,6,N6
Plate13B07,night,magna,7,N7
Plate13B08,night,magna,8,N8
Plate13B09,night,magna,9,N9
Plate13B10,night,magna,10,N10
Plate13C01,night,dentifera,1,DN1
Plate13C02,night,dentifera,2,DN2
Plate13C03,night,dentifera,3,DN3
Plate13C04,night,dentifera,4,DN4
Plate13C05,night,dentifera,5,DN5
Plate13C06,night,dentifera,6,DN6
Plate13C07,night,dentifera,7,DN7
Plate13C08,night,dentifera,8,DN8
Plate13C09,night,dentifera,9,DN9
Plate13D01,day,dentifera,1,DD1
Plate13D02,day,dentifera,2,DD2
Plate13D03,day,dentifera,3,DD3
Plate13D04,day,dentifera,4,DD4
Plate13D05,day,dentifera,5,DD5
Plate13D06,day,dentifera,6,DD6
Plate13D07,day,dentifera,7,DD7
Plate13D08,day,dentifera,8,DD8
Plate13D09,day,dentifera,9,DD9
Plate13D10,day,dentifera,10,DD10
